,UtcTime,ProcessId,EventID,User,Image,ImageLoaded,CommandLine,ParentImage,ParentCommandLine,DestinationPort,Protocol,QueryName,TargetFilename,TargetObject
2275,2020-05-12 14:56:52.138,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,array605.prod.do.dsp.mp.microsoft.com,,
2276,2020-05-12 14:56:49.681,4,3,NT AUTHORITY\SYSTEM,System,,,,,137,udp,,,
2277,2020-05-12 14:56:49.668,4,3,NT AUTHORITY\SYSTEM,System,,,,,137,udp,,,
2278,2020-05-12 14:56:49.507,4,3,NT AUTHORITY\SYSTEM,System,,,,,137,udp,,,
2279,2020-05-12 14:56:49.452,4,3,NT AUTHORITY\SYSTEM,System,,,,,137,udp,,,
2280,2020-05-12 14:56:48.429,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2281,2020-05-12 14:56:49.139,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,array611.prod.do.dsp.mp.microsoft.com,,
2282,2020-05-12 14:56:49.138,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,array614.prod.do.dsp.mp.microsoft.com,,
2283,2020-05-12 14:56:49.138,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,array602.prod.do.dsp.mp.microsoft.com,,
2284,2020-05-12 14:56:49.138,9728,22,,C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatps.exe,,,,,,,array605.prod.do.dsp.mp.microsoft.com,,
2285,2020-05-12 14:56:48.168,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2286,2020-05-12 14:56:47.917,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2287,2020-05-12 14:56:47.665,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2288,2020-05-12 14:56:47.531,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
2289,2020-05-12 14:56:47.389,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2290,2020-05-12 14:56:47.377,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2291,2020-05-12 14:56:47.375,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2292,2020-05-12 14:56:47.363,11148,3,NT AUTHORITY\NETWORK SERVICE,C:\Windows\System32\svchost.exe,,,,,443,tcp,,,
2293,2020-05-12 14:56:47.336,11148,22,,C:\Windows\System32\svchost.exe,,,,,,,array611.prod.do.dsp.mp.microsoft.com,,
2294,2020-05-12 14:56:47.324,11148,22,,C:\Windows\System32\svchost.exe,,,,,,,array605.prod.do.dsp.mp.microsoft.com,,
2295,2020-05-12 14:56:47.322,11148,22,,C:\Windows\System32\svchost.exe,,,,,,,array614.prod.do.dsp.mp.microsoft.com,,
2296,2020-05-12 14:56:47.306,11148,22,,C:\Windows\System32\svchost.exe,,,,,,,array602.prod.do.dsp.mp.microsoft.com,,
2297,2020-05-12 14:56:42.516,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
2298,2020-05-12 14:56:37.468,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
2299,2020-05-12 14:56:32.424,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
2300,2020-05-12 14:56:27.373,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
2301,2020-05-12 14:56:27.270,1520,3,DESKTOP-TATBGQH\anon,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,8080,tcp,,,
2302,2020-05-12 14:56:27.355,1936,11,,C:\Windows\system32\svchost.exe,,,,,,,,C:\Windows\Prefetch\SCHTASKS.EXE-8B6144A9.pf,
2304,2020-05-12 14:56:27.355,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\xmllite.dll,,,,,,,,
2305,2020-05-12 14:56:27.340,10280,7,,C:\Windows\System32\schtasks.exe,C:\Windows\System32\sspicli.dll,,,,,,,,
